,Listing,Price,SQMUP,Room Info,Area,Location,Ads
53,Przestronne mieszkanie w dogodnej lokalizacji,1 499 000 ,15 146 ,4 ,98.97  ,"Salomea, Włochy, Warszawa, mazowieckie",Metrohouse S.A.Biuro nieruchomości
54,"Cesja 2 pokojowe 48,84m2 Garaż Ursus Vita",680 000 ,13 923 ,2 ,48.84  ,"Szamoty, Ursus, Warszawa, mazowieckie",City PROFIT NieruchomościBiuro nieruchomości
55,"Stara Ochota,59,91+pom.przynależne 7,80m , piwnica",820 000 ,13 687 ,2 ,59.91  ,"al. Aleja Niepodległości, Filtry, Ochota, Warszawa, mazowieckie",LEX NIERUCHOMOŚCI MARTA KOSMOWSKABiuro nieruchomości
56,"2 pokoje Praga Południe, 44 m2",645 000 ,14 530 ,2 ,44.39  ,"ul. Cyraneczki, Grochów, Praga-Południe, Warszawa, mazowieckie",Oferta prywatna
57,"Włochy, 5 pok. 81,14 m, 2 balkony, garaż-2 miejsca",1 120 000 ,13 803 ,5 ,81.14  ,"Okęcie, Włochy, Warszawa, mazowieckie",LEX NIERUCHOMOŚCI MARTA KOSMOWSKABiuro nieruchomości
58,"Ochota Al. Niepdległości , 2pok. 59,91 m ,piętro 4",820 000 ,13 687 ,2 ,59.91  ,"al. Aleja Niepodległości, Filtry, Ochota, Warszawa, mazowieckie",LEX NIERUCHOMOŚCI MARTA KOSMOWSKABiuro nieruchomości
59,4 pokoje▪️2 X balko▪️2 X parking▪️Targówek,1 138 000 ,14 779 ,4 ,77  ,"ul. ks. Piotra Skargi, Targówek Mieszkaniowy, Targówek, Warszawa, mazowieckie",ESTATE-RSBiuro nieruchomości
60,2 pokoje▪️balkon▪️garaż▪️przy Fort Wola,775 000 ,22 794 ,2 ,34  ,"ul. Jana Kazimierza, Odolany, Wola, Warszawa, mazowieckie",ESTATE-RSBiuro nieruchomości
61,Kredyt 2 %-Trzypokojowe-Bezpośrednio-Bez Prowizji!,726 754 ,12 200 ,3 ,59.57  ,"Bródno-Podgrodzie, Targówek, Warszawa, mazowieckie",TEstateBiuro nieruchomości
62,"Ochota, 5 pok. 81,14 m 2 balkony, garaż -2 miejsca",1 120 000 ,13 803 ,5 ,81.14  ,"Szczęśliwice, Ochota, Warszawa, mazowieckie",LEX NIERUCHOMOŚCI MARTA KOSMOWSKABiuro nieruchomości
63,LOFT GARDEN Wesoła ETAP II 53-97m2 apart. OGRÓDEK,998 700 ,10 229 ,4 ,97.63  ,"Zielona-Grzybowa, Wesoła, Warszawa, mazowieckie",LOFT GARDEN Wesoła Sp.z o.o.Inwestycja deweloperska
64,"Śródmieście Al. Niepodległości, 59,91 m",820 000 ,13 687 ,2 ,59.91  ,"al. Aleja Niepodległości, Filtry, Ochota, Warszawa, mazowieckie",LEX NIERUCHOMOŚCI MARTA KOSMOWSKABiuro nieruchomości
65,"Trzypokojowe mieszkanie w Kamienicy ,Śródmieście",1 399 000 ,22 031 ,3 ,63.5  ,"ul. Wilcza, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",Warszawski Pośrednik Nieruchomości Sp. z o.o.Biuro nieruchomości
66,Tzypokojowe mieszkanie Ursynów świetna lokalizacja,799 000 ,11 580 ,3 ,69  ,"ul. Marii Grzegorzewskiej, Ursynów-Centrum, Ursynów, Warszawa, mazowieckie",Warszawski Pośrednik Nieruchomości Sp. z o.o.Biuro nieruchomości
67,Super Cena 3 pokojowe mieszkanie Ursus Niedźwiadek,599 000 ,10 363 ,3 ,57.8  ,"Niedźwiadek, Ursus, Warszawa, mazowieckie",KOLOSEUM NIERUCHOMOŚCIBiuro nieruchomości
68,Przestronny apartament na Mokotowie przy metrze,1 699 000 ,14 041 ,3 ,121  ,"ul. Wielicka, Ksawerów, Mokotów, Warszawa, mazowieckie",Warszawski Pośrednik Nieruchomości Sp. z o.o.Biuro nieruchomości
69,4 pokoje w kameralnej inwestycji na Białołęce,708 658 ,9570 ,4 ,74.05  ,"ul. Pochyła, Nowodwory, Białołęka, Warszawa, mazowieckie",Warszawski Pośrednik Nieruchomości Sp. z o.o.Biuro nieruchomości
70,2pokoje w kameralnym budynku na Białołęce,463 664 ,9899 ,2 ,46.84  ,"ul. Pochyła, Nowodwory, Białołęka, Warszawa, mazowieckie",Warszawski Pośrednik Nieruchomości Sp. z o.o.Biuro nieruchomości
71,3 pokoje w kameralnej inwestycji na Białołęce,665 164 ,11 550 ,3 ,57.59  ,"ul. Pochyła, Nowodwory, Białołęka, Warszawa, mazowieckie",Warszawski Pośrednik Nieruchomości Sp. z o.o.Biuro nieruchomości
72,"Ochota , 4 pok.77,66m komórka garaż",1 300 000 ,16 740 ,4 ,77.66  ,"Szczęśliwice, Ochota, Warszawa, mazowieckie",LEX NIERUCHOMOŚCI MARTA KOSMOWSKABiuro nieruchomości
73,"3 pokojowe mieszkanie, Włochy, 58m",638 000 ,11 000 ,3 ,58  ,"ul. 1 Sierpnia, Okęcie, Włochy, Warszawa, mazowieckie",Oferta prywatna
74,2 pokoje na Ursynowie. Loft. Kabaty.,599 000 ,14 717 ,2 ,40.7  ,"Kabaty, Ursynów, Warszawa, mazowieckie",KOLOSEUM NIERUCHOMOŚCIBiuro nieruchomości
75,Bielany 2pok widna kuchnia taras 40m,599 000 ,10 949 ,2 ,54.71  ,"ul. Maszewska, Chomiczówka, Bielany, Warszawa, mazowieckie",VIVA INVESTBiuro nieruchomości
76,Kawalerka w prestiżowej i kameralnej inwestycji,709 000 ,22 080 ,1 ,32.11  ,"ul. Herbu Janina, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",Oferta prywatna
77,Mieszkanie 97m Warszawa Anin,924 000 ,9526 ,4 ,97  ,"ul. Pomiechowska, Sadul, Wawer, Warszawa, mazowieckie",Oferta prywatna
78,"Trzy pokoje z balkonem, widok na zieleń! Metro!",884 000 ,18 041 ,3 ,49  ,"ul. Michała Oczapowskiego, Stare Bielany, Bielany, Warszawa, mazowieckie",WAWA-EstateBiuro nieruchomości
79,Trzy pokoje na Woli. Dwa balkony. Lokalizacja!,1 095 000 ,14 992 ,3 ,73.04  ,"Młynów, Wola, Warszawa, mazowieckie",WAWA-EstateBiuro nieruchomości
80,"Dwa pokoje, do własnej aranżacji",599 000 ,10 459 ,2 ,57.27  ,"ul. Łukowska, Gocławek, Praga-Południe, Warszawa, mazowieckie",Warszawski Pośrednik Nieruchomości Sp. z o.o.Biuro nieruchomości
81,Trzy pokoje z garderobą ul. Andersena,799 000 ,10 682 ,3 ,74.8  ,"ul. Hansa Christiana Andersena, Wawrzyszew, Bielany, Warszawa, mazowieckie",Warszawski Pośrednik Nieruchomości Sp. z o.o.Biuro nieruchomości
82,Kawalerka na Starym Żoliborzu. Po remoncie. Cicho.,997 000 ,22 920 ,2 ,43.5  ,"Stary Żoliborz, Żoliborz, Warszawa, mazowieckie",WAWA-EstateBiuro nieruchomości
83,Piękne mieszkanie Praga (Koneser) z wyposażeniem,678 000 ,21 871 ,2 ,31  ,"Szmulowizna, Praga-Północ, Warszawa, mazowieckie",Oferta prywatna
84,"Włochy ,4pok. 77,66 m , garaż , komórka lokatorska",1 300 000 ,16 753 ,4 ,77.6  ,"Okęcie, Włochy, Warszawa, mazowieckie",LEX NIERUCHOMOŚCI MARTA KOSMOWSKABiuro nieruchomości
85,Jednopokojowe 45m przy Metro Płocka,649 000 ,14 403 ,1 ,45.06  ,"ul. Wolska, Młynów, Wola, Warszawa, mazowieckie",Warszawski Pośrednik Nieruchomości Sp. z o.o.Biuro nieruchomości
86,6 Pokojowe w Apartamentowcu na Mokotowie,1 559 000 ,9225 ,6 ,169  ,"ul. Konduktorska, Sielce, Mokotów, Warszawa, mazowieckie",Warszawski Pośrednik Nieruchomości Sp. z o.o.Biuro nieruchomości
87,Czteropokojowe świeżo po remoncie - Powiśle !,2 029 000 ,19 990 ,4 ,101.5  ,"ul. Górnośląska, Solec, Śródmieście, Warszawa, mazowieckie",Warszawski Pośrednik Nieruchomości Sp. z o.o.Biuro nieruchomości
88,3 pokoje w Śródmieściu przy pl.Bankowym,1 299 000 ,21 057 ,3 ,61.69  ,"al. Aleja ""Solidarności"", Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",Warszawski Pośrednik Nieruchomości Sp. z o.o.Biuro nieruchomości
89,"Do sprzedania Mieszkanie 2 pokoje 49,1m² Bielany",799 000 ,16 273 ,2 ,49.1  ,"ul. Lucjana Rudnickiego 10, Huta, Bielany, Warszawa, mazowieckie",Biuro nieruchomości
90,2-pokoje (52m2)⭑garderoba oraz miejsce parkingowe⭑,614 000 ,11 785 ,2 ,52.1  ,"ul. Książkowa, Nowodwory, Białołęka, Warszawa, mazowieckie",Kraft EstateBiuro nieruchomości
91,Metro młociny - ładny widok z balkonu.,650 000 ,14 412 ,2 ,45.1  ,"Wrzeciono, Bielany, Warszawa, mazowieckie",Łaszewski nieruchomościBiuro nieruchomości
